xgappid,userid,appname,addtime,usertype,logourl,packagename
98000000,xg__8c9a022625f75d68ea35bc9f197bb30d51b11fc10352c469e832bc29b641db08,Cmoar,1439370643,0,ks3-public/logo/da96c2cc-0c76-4870-4fd1-2c1a14bb3216.png,com.Cmoar.Cmoar360PlayerFree
98000001,tako_55cae518e138235587000005,Tako,1439428108,0,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,com.ksg.tako
98000001,xg__8c9a022625f75d68ea35bc9f197bb30d51b11fc10352c469e832bc29b641db08,Tako,1439434996,1,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,com.ksg.tako
undefinedXgappid,tako_55cc113be138235b1b00001b,undefinedAppname,1439437225,0,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,undefinedPackagename
98000002,tako_55cc113be138235b1b00001b,baccxht1234,1439462090,0,ks3-public/logo/14adbadd-9722-45da-7349-c1dd22afbdd5.png,cn.com.xishanju.baccarat
98000002,xg__8c9a022625f75d68ea35bc9f197bb30d51b11fc10352c469e832bc29b641db08,baccxht1234,1439462120,2,ks3-public/logo/14adbadd-9722-45da-7349-c1dd22afbdd5.png,cn.com.xishanju.baccarat
98000002,tako_55cc0eb1e138235b1b000018,baccxht1234,1439462246,2,ks3-public/logo/14adbadd-9722-45da-7349-c1dd22afbdd5.png,cn.com.xishanju.baccarat
98000001,tako_55cc113be138235b1b00001b,Tako,1439462581,2,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,com.ksg.tako
98000003,tako_55cae518e138235587000005,小米实况麻将,1439514334,0,ks3-public/logo/458450d8-79bd-4563-793d-e5acf05373eb.png,com.ximi.mj.mi
98000004,tako_55cae518e138235587000005,Rievia,1439515470,0,ks3-public/logo/cd4e604e-a66f-4ceb-7c46-f280224b3bc7.png,com.xsjme.fancy.kingsoft
98000005,tako_55cae518e138235587000005,变身吧！主公,1439516301,0,ks3-public/logo/db52814b-693b-4435-58c6-b156731f36d2.png,com.westhouse.sanguox.xsj
98000006,tako_55cae518e138235587000005,剑侠代号S,1439519205,0,ks3-public/logo/f0150fd7-de39-49bb-7f16-b6b1ad3034da.png,com.xsj.jxqy.xsj
98000007,tako_55cae518e138235587000005,锤子三国,1439521532,0,ks3-public/logo/4f75e99e-e406-4a70-6fe2-2fd1c6b2e048.png,com.tencent.tmgp.chuizi
98000008,tako_55d1aa5be138236e51000007,2048,1439804075,0,ks3-public/logo/54bd6943-c10d-4ba8-717b-924ee842f8b9.png,f3nghuang.-048
98000001,tako_55cca2b7e1382371ff00001e,Tako,1439881663,2,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,com.ksg.tako
98000009,tako_55d1aa5be138236e51000007,点餐系统,1440214684,0,ks3-public/logo/9092fb25-e85e-48fc-7043-74c61e090e01.png,com.tcsl.Menu
98000010,tako_55cae518e138235587000005,android1010,1440410712,0,ks3-public/logo/27a90fff-1824-4f04-6f0b-e9d13384fdd7.png,org.egret.java.android1010
98000010,xg__b400148f0632344e0fd9c30e265eb203fbfce86aea586642a30ea16a34a41547,android1010,1440467191,1,ks3-public/logo/27a90fff-1824-4f04-6f0b-e9d13384fdd7.png,org.egret.java.android1010
98000010,tako_55d68ce2e138234457000004,android1010,1440467191,1,ks3-public/logo/27a90fff-1824-4f04-6f0b-e9d13384fdd7.png,org.egret.java.android1010
98000010,xg__8c9a022625f75d68ea35bc9f197bb30d51b11fc10352c469e832bc29b641db08,android1010,1440467192,2,ks3-public/logo/27a90fff-1824-4f04-6f0b-e9d13384fdd7.png,org.egret.java.android1010
98000007,xg__062738587af9dda21404f07b10e28946cc7de63ad3af57e380d736e81cbf5869,锤子三国,1440471095,1,ks3-public/logo/4f75e99e-e406-4a70-6fe2-2fd1c6b2e048.png,com.tencent.tmgp.chuizi
98000011,tako_55cc0eb1e138235b1b000018,DiveCityCoaster,1440472639,0,ks3-public/logo/49829d6d-34b6-4ba8-401a-c2f94d225a92.png,com.divegames.divecitycoaster
98000012,tako_55dbe29be138230de5000032,尸化危机,1440474704,0,ks3-public/logo/508824c8-022c-47ff-52b5-4f5ff622bb8f.png,com.xishanju.gamex.mi
98000001,tako_55dbe29be138230de5000032,Tako,1440485102,2,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,com.ksg.tako
98000001,xg__9e818c58510d61f8291e7d971dbbe7b7796b73dce8ced0ecb6ead439c850bfbf,Tako,1440485103,2,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,com.ksg.tako
98000013,tako_55deb72ae138236a7f00001e,千丁管家,1440659307,0,ks3-public/logo/4d6d0836-bf74-494e-75fa-b5f65979d592.png,com.qding.butler
98000001,tako_55e5514de138233074000020,Tako,1441096638,2,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,com.ksg.tako
98000011,xg__8c9a022625f75d68ea35bc9f197bb30d51b11fc10352c469e832bc29b641db08,DiveCityCoaster,1441193149,2,ks3-public/logo/49829d6d-34b6-4ba8-401a-c2f94d225a92.png,com.divegames.divecitycoaster
98000014,xg__811effbc75b0c2425fbfaa47d46de9b1c754fda7f50b1f7844a0750bfcbe0ba0,豆饭,1441376214,0,ks3-public/logo/c5324cde-9545-4627-7bff-2768b320a19c.png,com.doudou.app.android
98000014,xg__8c9a022625f75d68ea35bc9f197bb30d51b11fc10352c469e832bc29b641db08,豆饭,1441376767,2,ks3-public/logo/c5324cde-9545-4627-7bff-2768b320a19c.png,com.doudou.app.android
98000015,tako_55eae5b9e138230cfe000056,Tako,1441457971,0,ks3-public/logo/8e6389d7-be58-4483-4277-a87d43bd2f74.png,com.ksg.tako
98000014,tako_55ebd9a4e138230cfe000076,豆饭,1441520036,2,ks3-public/logo/c5324cde-9545-4627-7bff-2768b320a19c.png,com.doudou.app.android
98000001,xg__a733bb9f0b8bd3093e174cf85363fbe849425206bc811a379b905794541b3cba,Tako,1441538417,1,ks3-public/logo/4fa4cf35-839f-4e89-4af8-3282bf22bf10.png,com.ksg.tako
