"supervisor","subordinate"
"2005","62439"
"33783","33832"
"28033","47116"
"9053","70519"
"434","35411"
"208","194"
"2676","2749"
"6298","87271"
"2103","66078"
"26965","27510"
"10780","15515"
"7116","80498"
"29139","38348"
"52417","51700"
"31764","54357"
"6278","49297"
"70156","83010"
"29667","74112"
"63030","4967"
"25158","76159"
"27787","58141"
"28095","27621"
"12257","56719"
"42867","83620"
"52782","51371"
"3376","46878"
"8527","55841"
"76338","49807"
"17017","67539"
"31764","49990"
"8536","17215"
"9053","45893"
"15846","7543"
"70623","33155"
"19422","55655"
"27504","17811"
"64846","64839"
"2869","77668"
"855","53553"
"1397","48853"
"27151","71865"
"54347","54338"
"29647","64188"
"7409","42896"
"9678","14187"
"2980","6211"
"43520","36054"
"76338","49693"
"7409","41301"
"8228","10932"
"21065","89956"
"8930","21086"
"11640","21785"
"9053","9358"
"21950","60589"
"46952","34230"
"12198","29289"
"26394","5981"
"3598","29879"
"8414","85277"
"49579","38403"
"6305","47776"
"22112","34080"
"6298","20020"
"49579","38374"
"51084","73225"
"47198","47296"
"40605","20503"
"87661","89024"
"20004","71493"
"8982","71173"
"21402","8196"
"12263","80004"
"10357","9983"
"16825","32647"
"12812","12769"
"76322","9859"
"2584","3164"
"8396","8707"
"22962","47888"
"51858","66306"
"9832","49595"
"1171","19994"
"23256","24471"
"7389","14569"
"3329","70533"
"8782","50381"
"34487","45164"
"63549","57547"
"16350","20929"
"345","4789"
"3329","2479"
"32","9711"
"26166","6019"
"26394","14527"
"64817","90837"
"46952","79458"
"24315","5516"
"63282","68764"
"769","54286"
"88666","85924"
"1231","94216"
"7762","9930"
"16806","50948"
"7633","19948"
"28394","29085"
"31149","67693"
"8175","30679"
"5001","26401"
"68685","69605"
"21650","73863"
"62456","58346"
"24446","78331"
"44022","63515"
"24096","41907"
"12263","13061"
"7237","47865"
"7614","40639"
"2249","14889"
"7135","7803"
"4739","11314"
"48942","77530"
"9507","89161"
"33266","89601"
"9711","55094"
"7125","80701"
"40306","79885"
"7409","2769"
"9551","13397"
"47954","58143"
"63541","7889"
"30822","21646"
"18297","64942"
"12471","28495"
"12257","59473"
"9551","44304"
"1179","6915"
"8179","85673"
"8414","92813"
"43473","71057"
"67091","60885"
"51084","60851"
"8782","6033"
"29149","15473"
"9463","92697"
"382","55567"
"8249","58511"
"45585","82067"
"16100","20890"
"28803","50410"
"8228","10878"
"8917","12480"
"14119","55956"
"15974","33979"
"28901","53569"
"85320","75741"
"9083","70776"
"44022","63012"
"9112","38488"
"15434","5625"
"15434","14635"
"10267","5450"
"7104","7105"
"46232","84773"
"9711","5021"
"358","4844"
"43473","70852"
"27547","60221"
"59752","83998"
"16406","70613"
"3604","17615"
"13782","68283"
"22605","24097"
"12623","13151"
"23981","14205"
"64380","10082"
"19003","94138"
"8250","15868"
"62005","44963"
"7637","7595"
"3489","43474"
"346","29667"
"15647","15871"
"32252","12393"
"7430","17305"
"44731","30285"
"2581","4655"
"2100","1307"
"25788","79373"
"48015","20947"
"9730","61385"
"13939","2280"
"7560","65218"
"84348","84349"
"15934","15553"
"59752","64441"
"7598","50406"
"50890","79475"
"9106","25196"
"79188","62749"
"5689","91667"
"7135","15564"
"8583","67894"
"28510","7358"
"18959","91640"
"76935","45481"
"56428","58439"
"38213","80651"
"24410","72112"
"6298","69318"
"6268","92399"
"12263","80182"
"26378","67660"
"71541","71540"
"39126","17439"
"39126","235"
"2243","150"
"8414","8445"
"67956","55980"
"10740","73932"
"10740","77631"
"25788","43352"
"16051","15304"
"6268","45829"
"26912","90140"
"30243","73195"
"3501","3779"
"7328","9479"
"7423","15769"
"15635","23194"
"7409","62223"
"24619","29384"
"73289","73765"
"26121","30541"
"7672","40571"
"23256","83494"
"7400","10826"
"51893","51265"
"30248","46967"
"62629","13197"
"10971","15244"
"24186","24537"
"8236","91202"
"51307","69142"
"6298","65683"
"5783","92066"
"25788","31858"
"6537","74856"
"40605","64211"
"6298","56783"
"10123","20976"
"15612","14779"
"36370","43446"
"77659","69195"
"4481","21100"
"23368","22816"
"51307","91513"
"12574","22353"
"18249","42397"
"7455","2996"
"4730","29259"
"77739","20651"
"8888","92930"
"23639","65140"
"22551","68149"
"21650","88933"
"21093","57912"
"5001","5441"
"9543","50268"
"52782","51756"
"32413","12995"
"4838","40115"
"8659","10687"
"11295","1866"
"47481","21516"
"9816","9934"
"31277","71548"
"27162","82359"
"87903","89025"
"17875","45939"
"13164","38977"
"13770","35854"
"30831","54797"
"7568","61558"
"7555","13294"
"13952","23871"
"2566","7110"
"79979","79887"
"79188","65952"
"15643","14359"
"51893","56843"
"47608","83348"
"86405","85925"
"51836","70099"
"79892","81055"
"2103","41514"
"75301","50481"
"4902","28394"
"41026","2956"
"45156","24449"
"12263","66405"
"14013","23752"
"14027","91395"
"86982","85926"
"44017","51387"
"35748","93650"
"21977","82011"
"8414","85626"
"20004","88809"
"19839","90946"
"16160","13809"
"1579","83335"
"44877","90800"
"7063","45734"
"57901","12698"
"86006","85927"
"31712","68625"
"8930","47833"
"39593","55362"
"9088","7086"
"55063","80758"
"6328","67948"
"25755","42964"
"6417","36090"
"2565","3752"
"86704","85928"
"9678","34297"
"290","1900"
"14856","18635"
"61410","54082"
"342","27919"
"10791","67497"
"33378","69686"
"85961","85929"
"26913","34048"
"4677","34987"
"16611","39728"
"1629","75443"
"45272","47701"
"79894","81057"
"7633","41968"
"14414","92193"
"29191","78537"
"1886","39422"
"653","4988"
"1207","68082"
"24316","65226"
"6268","85484"
"63541","61951"
"44022","63769"
"79995","51269"
"33451","67683"
"34723","54956"
"72231","72379"
"1634","63575"
"41129","320"
"9077","40233"
"5323","46292"
"7823","50142"
"57120","55058"
"2103","51172"
"7216","93599"
"277","24203"
"20","73378"
"17450","50739"
"3759","32063"
"85550","85515"
"6268","4890"
"28806","6029"
"26910","28658"
"4888","22709"
"2103","78161"
"53494","74914"
"15703","16461"
"2272","80786"
"9677","61557"
"9551","68273"
"51216","78584"
"12329","23502"
"28806","33212"
"7419","63141"
"13059","70571"
"17441","56280"
"25261","39806"
"40312","77297"
"9677","73669"
"16406","91389"
"8962","93597"
"7309","67757"
"26394","15257"
"6268","6131"
"86531","85930"
"33490","93962"
"7075","9220"
"8179","18716"
"34","10"
"64851","91584"
"79924","79888"
"28394","20371"
"44586","43011"
"43473","71237"
"56122","73273"
"1438","74304"
"33441","43317"
"19153","22199"
"10753","75074"
"11667","59364"
"55431","92918"
"63685","38994"
"6256","20483"
"28901","27997"
"13939","88944"
"76502","89213"
"6305","73637"
"492","45828"
"8976","66969"
"7409","2774"
"34869","77128"
"29192","79651"
"30831","74839"
"10427","57775"
"6278","73513"
"8782","33988"
"8179","16772"
"9469","22450"
"43473","47458"
"3443","34289"
"26394","7795"
"24258","41119"
"2668","60289"
"637","5194"
"9507","34197"
"25311","34124"
"14456","33236"
"8568","8553"
"3785","47504"
"38198","42905"
"74051","45709"
"17430","34864"
"8416","21515"
"9711","23912"
"51981","73133"
"6746","41299"
"12263","13052"
"79944","81058"
"6268","78033"
"43473","91935"
"6157","4889"
"54160","10433"
"39305","70276"
"4460","4464"
"2103","50269"
"28803","6439"
"53272","51247"
"4736","69175"
"488","498"
"2548","27681"
"26166","61368"
"6278","14351"
"26965","26958"
"76502","89214"
"8782","67658"
"2103","39735"
"18320","80668"
"47198","59647"
"4197","41160"
"7744","48709"
"7083","9204"
"30468","67991"
"6328","80983"
"14414","91892"
"1438","62062"
"2103","5263"
"492","22364"
"56122","73275"
"8976","62426"
"2570","3849"
"9527","41640"
"10718","74375"
"7311","58706"
"14832","17815"
"28394","38373"
"10753","74615"
"10685","8732"
"8414","72979"
"70372","32846"
"52421","56675"
"20247","26848"
"23734","14588"
"8414","64918"
"3521","64901"
"637","29003"
"2103","5950"
"76508","90676"
"2363","1993"
"59752","75705"
"84428","84473"
"61410","72450"
"8930","70841"
"2581","74454"
"21065","82718"
"16929","688"
"50050","27125"
"385","50738"
"2581","33172"
"7409","73457"
"1629","63560"
"28806","4994"
"44022","62148"
"34487","63901"
"9053","46477"
"6298","49329"
"7409","55594"
"21650","91943"
"3149","79258"
"26410","10096"
"9677","8083"
"651","14039"
"27162","16747"
"13705","29058"
"7253","43475"
"2103","22500"
"6268","46607"
"86405","85931"
"11608","11121"
"7247","40840"
"19793","17068"
"71839","67649"
"19660","65901"
"12372","77377"
"392","4284"
"20766","20763"
"4783","78575"
"12623","12956"
"533","41888"
"18996","71445"
"1886","71066"
"76502","89215"
"30379","28568"
"28806","4865"
"2581","8221"
"1243","5081"
"385","5988"
"74423","30756"
"19239","80037"
"56122","55141"
"24302","24393"
"7742","3749"
"51968","67066"
"52912","92778"
"52913","51641"
"8782","5006"
"9711","9814"
